Id,萼片长,萼片宽,花瓣长,花瓣宽,Species
1,5.1,3.5,1.4,0.2,品种setosa
2,4.9,3,1.4,0.2,品种setosa
3,4.7,3.2,1.3,0.2,品种setosa
4,4.6,3.1,1.5,0.2,品种setosa
5,5,3.6,1.4,0.2,品种setosa
6,5.4,3.9,1.7,0.4,品种setosa
7,4.6,3.4,1.4,0.3,品种setosa
8,5,3.4,1.5,0.2,品种setosa
9,4.4,2.9,1.4,0.2,品种setosa
10,4.9,3.1,1.5,0.1,品种setosa
11,5.4,3.7,1.5,0.2,品种setosa
12,4.8,3.4,1.6,0.2,品种setosa
13,4.8,3,1.4,0.1,品种setosa
14,4.3,3,1.1,0.1,品种setosa
15,5.8,4,1.2,0.2,品种setosa
16,5.7,4.4,1.5,0.4,品种setosa
17,5.4,3.9,1.3,0.4,品种setosa
18,5.1,3.5,1.4,0.3,品种setosa
19,5.7,3.8,1.7,0.3,品种setosa
20,5.1,3.8,1.5,0.3,品种setosa
21,5.4,3.4,1.7,0.2,品种setosa
22,5.1,3.7,1.5,0.4,品种setosa
23,4.6,3.6,1,0.2,品种setosa
24,5.1,3.3,1.7,0.5,品种setosa
25,4.8,3.4,1.9,0.2,品种setosa
26,5,3,1.6,0.2,品种setosa
27,5,3.4,1.6,0.4,品种setosa
28,5.2,3.5,1.5,0.2,品种setosa
29,5.2,3.4,1.4,0.2,品种setosa
30,4.7,3.2,1.6,0.2,品种setosa
31,4.8,3.1,1.6,0.2,品种setosa
32,5.4,3.4,1.5,0.4,品种setosa
33,5.2,4.1,1.5,0.1,品种setosa
34,5.5,4.2,1.4,0.2,品种setosa
35,4.9,3.1,1.5,0.2,品种setosa
36,5,3.2,1.2,0.2,品种setosa
37,5.5,3.5,1.3,0.2,品种setosa
38,4.9,3.6,1.4,0.1,品种setosa
39,4.4,3,1.3,0.2,品种setosa
40,5.1,3.4,1.5,0.2,品种setosa
41,5,3.5,1.3,0.3,品种setosa
42,4.5,2.3,1.3,0.3,品种setosa
43,4.4,3.2,1.3,0.2,品种setosa
44,5,3.5,1.6,0.6,品种setosa
45,5.1,3.8,1.9,0.4,品种setosa
46,4.8,3,1.4,0.3,品种setosa
47,5.1,3.8,1.6,0.2,品种setosa
48,4.6,3.2,1.4,0.2,品种setosa
49,5.3,3.7,1.5,0.2,品种setosa
50,5,3.3,1.4,0.2,品种setosa
51,7,3.2,4.7,1.4,品种versicolor
52,6.4,3.2,4.5,1.5,品种versicolor
53,6.9,3.1,4.9,1.5,品种versicolor
54,5.5,2.3,4,1.3,品种versicolor
55,6.5,2.8,4.6,1.5,品种versicolor
56,5.7,2.8,4.5,1.3,品种versicolor
57,6.3,3.3,4.7,1.6,品种versicolor
58,4.9,2.4,3.3,1,品种versicolor
59,6.6,2.9,4.6,1.3,品种versicolor
60,5.2,2.7,3.9,1.4,品种versicolor
61,5,2,3.5,1,品种versicolor
62,5.9,3,4.2,1.5,品种versicolor
63,6,2.2,4,1,品种versicolor
64,6.1,2.9,4.7,1.4,品种versicolor
65,5.6,2.9,3.6,1.3,品种versicolor
66,6.7,3.1,4.4,1.4,品种versicolor
67,5.6,3,4.5,1.5,品种versicolor
68,5.8,2.7,4.1,1,品种versicolor
69,6.2,2.2,4.5,1.5,品种versicolor
70,5.6,2.5,3.9,1.1,品种versicolor
71,5.9,3.2,4.8,1.8,品种versicolor
72,6.1,2.8,4,1.3,品种versicolor
73,6.3,2.5,4.9,1.5,品种versicolor
74,6.1,2.8,4.7,1.2,品种versicolor
75,6.4,2.9,4.3,1.3,品种versicolor
76,6.6,3,4.4,1.4,品种versicolor
77,6.8,2.8,4.8,1.4,品种versicolor
78,6.7,3,5,1.7,品种versicolor
79,6,2.9,4.5,1.5,品种versicolor
80,5.7,2.6,3.5,1,品种versicolor
81,5.5,2.4,3.8,1.1,品种versicolor
82,5.5,2.4,3.7,1,品种versicolor
83,5.8,2.7,3.9,1.2,品种versicolor
84,6,2.7,5.1,1.6,品种versicolor
85,5.4,3,4.5,1.5,品种versicolor
86,6,3.4,4.5,1.6,品种versicolor
87,6.7,3.1,4.7,1.5,品种versicolor
88,6.3,2.3,4.4,1.3,品种versicolor
89,5.6,3,4.1,1.3,品种versicolor
90,5.5,2.5,4,1.3,品种versicolor
91,5.5,2.6,4.4,1.2,品种versicolor
92,6.1,3,4.6,1.4,品种versicolor
93,5.8,2.6,4,1.2,品种versicolor
94,5,2.3,3.3,1,品种versicolor
95,5.6,2.7,4.2,1.3,品种versicolor
96,5.7,3,4.2,1.2,品种versicolor
97,5.7,2.9,4.2,1.3,品种versicolor
98,6.2,2.9,4.3,1.3,品种versicolor
99,5.1,2.5,3,1.1,品种versicolor
100,5.7,2.8,4.1,1.3,品种versicolor
101,6.3,3.3,6,2.5,品种virginica
102,5.8,2.7,5.1,1.9,品种virginica
103,7.1,3,5.9,2.1,品种virginica
104,6.3,2.9,5.6,1.8,品种virginica
105,6.5,3,5.8,2.2,品种virginica
106,7.6,3,6.6,2.1,品种virginica
107,4.9,2.5,4.5,1.7,品种virginica
108,7.3,2.9,6.3,1.8,品种virginica
109,6.7,2.5,5.8,1.8,品种virginica
110,7.2,3.6,6.1,2.5,品种virginica
111,6.5,3.2,5.1,2,品种virginica
112,6.4,2.7,5.3,1.9,品种virginica
113,6.8,3,5.5,2.1,品种virginica
114,5.7,2.5,5,2,品种virginica
115,5.8,2.8,5.1,2.4,品种virginica
116,6.4,3.2,5.3,2.3,品种virginica
117,6.5,3,5.5,1.8,品种virginica
118,7.7,3.8,6.7,2.2,品种virginica
119,7.7,2.6,6.9,2.3,品种virginica
120,6,2.2,5,1.5,品种virginica
121,6.9,3.2,5.7,2.3,品种virginica
122,5.6,2.8,4.9,2,品种virginica
123,7.7,2.8,6.7,2,品种virginica
124,6.3,2.7,4.9,1.8,品种virginica
125,6.7,3.3,5.7,2.1,品种virginica
126,7.2,3.2,6,1.8,品种virginica
127,6.2,2.8,4.8,1.8,品种virginica
128,6.1,3,4.9,1.8,品种virginica
129,6.4,2.8,5.6,2.1,品种virginica
130,7.2,3,5.8,1.6,品种virginica
131,7.4,2.8,6.1,1.9,品种virginica
132,7.9,3.8,6.4,2,品种virginica
133,6.4,2.8,5.6,2.2,品种virginica
134,6.3,2.8,5.1,1.5,品种virginica
135,6.1,2.6,5.6,1.4,品种virginica
136,7.7,3,6.1,2.3,品种virginica
137,6.3,3.4,5.6,2.4,品种virginica
138,6.4,3.1,5.5,1.8,品种virginica
139,6,3,4.8,1.8,品种virginica
140,6.9,3.1,5.4,2.1,品种virginica
141,6.7,3.1,5.6,2.4,品种virginica
142,6.9,3.1,5.1,2.3,品种virginica
143,5.8,2.7,5.1,1.9,品种virginica
144,6.8,3.2,5.9,2.3,品种virginica
145,6.7,3.3,5.7,2.5,品种virginica
146,6.7,3,5.2,2.3,品种virginica
147,6.3,2.5,5,1.9,品种virginica
148,6.5,3,5.2,2,品种virginica
149,6.2,3.4,5.4,2.3,品种virginica
150,5.9,3,5.1,1.8,品种virginica
